"Cereza", 1021.50, 170
"Repollo", 7.30, 735
"Palta", 465.64, 570
"Rabanito", 220.08, 255
"Calabaza", 22.40, 792
"Lima", 1279.01, 184
"Frutilla", 298.58, 318
"Rabanito", 226.77, 294
"Kiwi", 452.62, 360
"Frutilla", 275.37, 264
"Caqui", 856.19, 82
"Pomelo", 49.26, 846
"TomCherry", 544.39, 202
"Choclo", 62.96, 309
"Naranja", 13.79, 990
"Berenjena", 64.01, 546
"Kiwi", 415.53, 436
"Repollo", 7.85, 574
"Palta", 1173.55, 384
"Tomate", 788.48, 873
"Batata", 23.70, 910
"Naranja", 16.76, 1000
"Batata", 27.99, 820
"Mandarina", 23.78, 1030
"Caqui", 793.35, 105
"Lechuga", 46.77, 1044
"Banana", 67.88, 1110
"Lima", 1078.54, 210
"Ciruela", 934.03, 1008
"Palta", 1171.20, 376
"Durazno", 145.26, 856
"Lima", 1085.56, 198
"Manzana", 121.50, 1030
"Mandarina", 25.36, 1170
"Palta", 514.21, 425
"Durazno", 283.98, 648
"Caqui", 843.76, 95
"Espárrago", 641.22, 210
"Frutilla", 295.18, 342
"Ajo", 893.29, 116
"Coliflor", 23.03, 475
"Sandía", 55.75, 1062
"Naranja", 5.36, 1080
"Coliflor", 27.56, 430
"Pomelo", 41.99, 909
"Pera", 151.88, 910
"Naranja", 19.47, 1080
"Berenjena", 60.01, 564
"Kinoto", 24.99, 198
"Papa", 12.65, 830
"Ciruela", 896.54, 945
"Kiwi", 434.87, 328
"Lima", 1347.15, 234
"Repollo", 5.33, 609
"Rabanito", 231.55, 294
"TomCherry", 507.73, 232
"Uva", 718.83, 297
"Sandía", 60.52, 756
"Lima", 985.50, 178
"Frutilla", 289.13, 333
"Uva", 720.42, 249
"Papa", 16.51, 1200
"Palta", 1102.14, 332
"Mandarina", 25.14, 1070
"Cebolla", 65.35, 704
"Lima", 1337.89, 218
"Ciruela", 911.39, 873
"Pepino", 41.32, 475
"Manzana", 150.93, 830
"Kinoto", 35.41, 240
"Durazno", 262.23, 760
"Lima", 1194.01, 206
"TomCherry", 563.18, 224
"Lima", 1347.58, 202
"Uva", 686.13, 249
"Durazno", 159.27, 792
"Pomelo", 52.21, 990
"Ajo", 933.04, 96
"Tomate", 780.25, 900
"Frutilla", 262.69, 270
"Higo", 2479.36, 102
"Coliflor", 32.41, 425
"Frambuesa", 2024.06, 85
"Tomate", 774.03, 1062
"Pomelo", 46.41, 729
"Repollo", 3.23, 609
"Zanahoria", 33.91, 690
"Rabanito", 213.04, 306
"Ajo", 898.21, 108
"Uva", 713.88, 240
"Kiwi", 451.81, 332
"Lima", 1265.33, 174
"Tomate", 709.36, 990
"Melón", 120.35, 336
"Manzana", 147.67, 1090
"Lima", 1433.24, 228
"Lima", 1347.52, 232
"Calabaza", 16.43, 664
"Acelga", 17.76, 891
"Papa", 15.79, 1080
"Mandarina", 18.04, 830
"Durazno", 147.62, 760
"Tomate", 756.02, 720
"Limon", 331.84, 651
"Pomelo", 44.32, 819
"Batata", 17.41, 920
"Durazno", 289.04, 728
"Acelga", 21.43, 855
"Brócoli", 344.95, 452
"Morrón", 2985.27, 696
"Limon", 313.82, 672
"Frutilla", 298.36, 357
"Melón", 115.37, 476
"Durazno", 142.28, 928
"Rabanito", 253.40, 336
"Caqui", 841.47, 105
"Brócoli", 389.82, 476
"Rabanito", 231.40, 300
"Calabaza", 22.59, 792
"Durazno", 291.69, 944
"Tomate", 710.73, 1008
"Melón", 87.17, 400
"Pepino", 39.45, 445
"Ajo", 881.33, 91
"Espárrago", 646.52, 164
"Zuccini", 90.37, 546
"Frutilla", 300.51, 342
"Uva", 707.66, 267
"Champignon", 3527.78, 118
"Berenjena", 67.55, 714
"Zanahoria", 37.59, 576
"Rabanito", 222.46, 315
"Berenjena", 62.96, 612
"Pepino", 39.12, 485
"Batata", 20.04, 1100
"Tomate", 696.70, 900
"Zanahoria", 28.22, 552
"Lima", 1417.02, 214
"Sandía", 58.27, 756
"Naranja", 16.46, 1000
"Manzana", 136.14, 1090
"Higo", 2417.17, 91
"Mandarina", 19.45, 840
"Apio", 57.35, 252
"Manzana", 146.50, 1050
"Frutilla", 301.95, 252
"Tomate", 732.21, 1071
"Morrón", 2884.59, 702
"Palta", 496.75, 465
"Champignon", 3648.13, 97
"Kinoto", 32.41, 200
"Caqui", 801.84, 109
"Lima", 1203.77, 228
"Cebolla", 58.28, 720
"Calabaza", 23.26, 960
"Papa", 17.19, 1130
"Lima", 1368.61, 206
"Zanahoria", 35.55, 714
"Caqui", 811.45, 94
"Palta", 1174.23, 448
"Ajo", 867.46, 92
"Banana", 70.41, 910
"Kinoto", 39.78, 160
"TomCherry", 557.64, 190
"Sandía", 45.95, 882
"Uva", 688.27, 360
"Sandía", 60.24, 828
"Naranja", 15.11, 1070
"Brócoli", 379.73, 340
"TomCherry", 536.57, 204
"Rabanito", 203.19, 282
"Naranja", 14.56, 1200
"Zuccini", 96.25, 714
"Coliflor", 33.82, 510
"Naranja", 7.39, 1000
"Sandía", 55.69, 846
"Cereza", 1048.71, 198
"Espárrago", 671.00, 222
"Lima", 1022.64, 188
"Papa", 19.37, 1170
"Sandía", 54.44, 963
"Limon", 326.18, 560
"TomCherry", 561.96, 160
"Calabaza", 13.38, 960
"Calabaza", 17.68, 864
"Zuccini", 94.36, 558
"Durazno", 139.53, 912
"TomCherry", 604.10, 202
"Pepino", 30.74, 600
"Mandarina", 18.30, 980
"Palta", 1168.34, 448
"Choclo", 54.00, 339
"Pera", 142.48, 970
"Lechuga", 39.03, 1062
"Durazno", 294.38, 648
"Melón", 111.38, 324
"Sandía", 46.03, 873
